"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0108"
"DATE            ","02-09-2025"
"HEURE           ","17:21"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","0","0.00","0","0.00"
"0003","0","0.00","0","0.00"
"0004","0","0.00","0","0.00"
"0005","0","0.00","0","0.00"
"0006","1","99.00","1","99.00"
"0007","0","0.00","0","0.00"
"0008","0","0.00","0","0.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","0","0.00","0","0.00"
"0013","0","0.00","0","0.00"
"0014","2","658.00","1","658.00"
"0015","0","0.00","0","0.00"
"0016","0","0.00","0","0.00"
"0017","0","0.00","0","0.00"
"0018","0","0.00","0","0.00"
"0019","0","0.00","0","0.00"
"0020","1","329.00","1","329.00"
"0021","1","99.00","1","99.00"
"0022","2","658.00","1","658.00"
"0023","0","0.00","0","0.00"
"0024","0","0.00","0","0.00"
"0025","0","0.00","0","0.00"
"0026","0","0.00","0","0.00"
"0027","6","2,143.00","4","2,143.00"
"0028","0","0.00","0","0.00"
"0029","0","0.00","0","0.00"
"0030","0","0.00","0","0.00"
"0031","0","0.00","0","0.00"
